Sentence Output
"What do you say to a friend who ignores you for other friends ?" DESC:desc
"What was George Washington afraid of ?" ENTY:other
"What is the speed of the Mississippi River ?" NUM:speed
"Why did several San Diego schools remove apples from students menus ?" DESC:reason
"How do I stop background noise in a car stereo ?" DESC:manner
"What album put The Beatles on the cover of Time in 1967 ?" ENTY:cremat
"What rock group raised a ruckus at the White House by singing American Woman ?" HUM:gr
"Who is the most sexy celebrity ?" HUM:ind
"What do flatfish eat ?" ENTY:food
"What is the chemical reactivity of argon ?" NUM:other
"What island group contains Jersey , Guernsey , Sark and Herm ?" LOC:other
"Where did the term `` 86ed '' come from ?" DESC:desc
"What J.R.R. Tolkien book features Gimli as a central character ?" ENTY:cremat
"How did Edith Bunker die ?" DESC:manner
"What drink is the best thirst-quencher ?" ENTY:food
"How much waste does an average dairy cow produce in a day ?" NUM:count
"What do you call a section of your finger from one joint to another ?" ENTY:termeq
"How old was Lucille Ball when the show `` I Love Lucy '' premiered ?" NUM:period
"What are the environmental influences on plant genetics ?" DESC:desc
"What is the student population at the University of Massachusetts in Amherst ?" NUM:other
"Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?" HUM:ind
"What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?" NUM:ord
"Where is there information on the novel `` El Cid '' ?" LOC:other
"How does the chain of command work inside an US army Apache helicopter ?" DESC:manner
"What 's the Olympic motto ?" DESC:desc
"Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?" HUM:gr
"How long did the Paris Commune hold out for against the rest of France ?" NUM:period
"How tall is kilamanjaro ?" NUM:dist
"What is the full classification of a lady bug ?" ENTY:animal
"What is the life expectancy of an elephant ?" NUM:period
"What does a teaspoon of matter weigh in a black hole ?" NUM:weight
"Where is Hearst Castle , built by publisher William Randolph Hearst ?" LOC:other
"What is the Amish religion ?" DESC:def
"What was Connecticut 's first constitution called ?" ENTY:cremat
"What generation am I in ?" ENTY:other
"What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?" HUM:ind
"What 's the longest river in the world ?" LOC:other
"What are the 7 Wonders of the World ?" ENTY:other
"What was the name of the flight that Fawaz Younis hijacked ?" ENTY:veh
"What 's the longest river in Canada ?" LOC:other
"What London museum features a Chamber of Horrors ?" LOC:other
"Where is the oldest living thing on earth ?" LOC:other
"What river flows through Vienna , Budapest and Belgrade ?" LOC:other
"What is magnetar ?" DESC:def
"What five cards make up a perfect Cribbage hand ?" ENTY:other
"Who was the first woman to fly solo across the Atlantic ?" HUM:ind
"What brand of white rum is still made in Cuba ?" ENTY:product
"What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?" NUM:perc
"Who created private detective Philip Marlowe ?" HUM:ind
"When was the bar-code invented ?" NUM:date
"What term means a sexual attraction between a male and a female ?" ENTY:termeq
"What kind of wine is Spumante ?" ENTY:food
"What is the fear of the computer called ?" ENTY:dismed
"What do you call a date that contains sequencing numbers , like 9-8-98 ?" ENTY:termeq
"Where is the Mayo Clinic ?" LOC:other
"Where can I find out the top 1 singles ?" LOC:other
"Name a medicine commonly used to combat AIDS ?" ENTY:dismed
"What would happen to Canada if Quebec separated ?" DESC:desc
"What Argentine revolutionary fought with Castro and died in Bolivia in May , 1979 ?" HUM:ind
"What is a tonne ?" DESC:def
"What is the telephone number for the University of Kentucky ?" NUM:code
"What is Stefan Edberg 's native country ?" LOC:country
"What was the date of CNN 's first broadcast ?" NUM:date
"What are the shortest and the longest songs ever produced ?" ENTY:cremat
"What information can you get me on Fairground Park in St. Louis" DESC:desc
"What baseball team was routinely called `` dem bums '' by its frustrated fans ?" HUM:gr
"What celebrity couple , when going through a divorce , divided their toilet paper into two equal piles ?" HUM:ind
"What two vessels fought the first sea battle between iron-covered ships ?" ENTY:veh
"What 's the No. 1 killer in industrialized countries ?" ENTY:other
"What is the tallest building in Japan ?" LOC:other
"What is the brand name of daminozide ?" ENTY:product
"Which Rockefeller was sometimes called `` JDR3 '' ?" HUM:ind
"When did the use of `` the syringe '' first appear in medicinal history ?" NUM:date
"What are the seven wonders of the world ?" ENTY:other
"What is a virtual IP address ?" DESC:def
"What causes pneumonia ?" DESC:reason
"How do I find info about rice importers in the world ?" DESC:manner
"When did the Carolingian period begin ?" NUM:date
"What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?" ENTY:cremat
"What is goulash ?" DESC:def
"What does an average daycare provider get paid in New England ?" NUM:money
"What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?" ENTY:cremat
"What Hollywood dog died in the arms of Jean Harlow in 1932 ?" ENTY:animal
"Name the soft drink that is `` number one in the sun . ''" ENTY:food
"What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?" ENTY:dismed
"How many objects orbit the Earth ?" NUM:count
"What kind of substance is dextropropoxyphen napsylate ?" ENTY:substance
"What are the two languages of Malta ?" ENTY:lang
"What is the average hourly rate of American workers ?" NUM:other
"What is a film starring Jude Law ?" ENTY:cremat
"What college produced the most winning Super Bowl quarterbacks ?" HUM:gr
"What does Ouija mean ?" DESC:def
"What singer 's theme song was When the Moon Comes over the Mountain ?" HUM:ind
"How many inches over six feet is the Venus de Milo ?" NUM:count
"Where 's the Petrified Forest ?" LOC:other
"What was the name of the US helicopter pilot shot down over North Korea ?" HUM:ind
"How many years of bad luck follow breaking a mirror ?" NUM:count
"What lake is Sheboygan on ?" LOC:other
"How many years did it take James Joyce to write Ulysses ?" NUM:count
"How can I get someone 's email address ?" DESC:manner
"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?" LOC:country
"What African country is governed from Ouagadougou ?" LOC:country
"What sport is played on the largest field ?" ENTY:sport
"Why is the development of space so important ?" DESC:reason
"How many referees work a soccer game ?" NUM:count
"Who is the President of Pergament ?" HUM:ind
"What 's men 's par on a 455-yard golf hole ?" NUM:other
"What city does McCarren Airport serve ?" LOC:city
"What is p.m. an abbreviation for , as in 5 p.m. ?" ABBR:exp
"What country did the Romans call Hibernia ?" LOC:country
"How many watts make a kilowatt ?" NUM:count
"What is the highest number of home runs on record for any one game ?" NUM:count
"What will the weather be today ?" DESC:desc
"What London street claims to be the world center for men 's tailoring ?" LOC:other
"When did Gothic art and architecture flourish ?" NUM:date
"What President was assassinated by Charles J. Guiteau ?" HUM:ind
"How can I find out what year a Beanie Baby was introduced ?" DESC:manner
"What is Garry Kasparov famous for ?" DESC:reason
"What are the names of the different toes ?" ENTY:body
"What is the Homelite Inc. home page ?" LOC:other
"What was the name of the peace agreement imposed on Germany after World War I ?" ENTY:other
"What is the name of a Greek god ?" HUM:ind
"What is the seafaring name for the southern tip of South America ?" LOC:other
"How many emperors were there in the Roman Empire ?" NUM:count
"How old is Britney Spears ?" NUM:period
"What South American country won its first World Cup soccer title in 1978 ?" LOC:country
"How does an abacus work ?" DESC:manner
"What are vermicilli , rigati , zitoni , and tubetti ?" DESC:def
"Who portrayed the title character in the film The Day of the Jackal ?" HUM:ind
"CNN began broadcasting in what year ?" NUM:date
"What color is `` ash '' ?" ENTY:color
"What are the five richest countries in the world ?" LOC:country
"What is the temperature for baking Peachy Oat Muffins ?" NUM:temp
"What 's the fifth-largest country in the world ?" LOC:country
"What fool is not so wise To lose an oath to win a paradise ?" HUM:ind
"What ocean is the largest in the world ?" LOC:other
"Who was Jinnah ?" HUM:desc
"What sound does Olympia , Washington , overlook ?" LOC:other
"What army 's motto is Blood and Fire ?" HUM:gr
"What was the sequel to The Pink Panther ?" ENTY:cremat
"What song put James Taylor in the limelight ?" ENTY:cremat
"Where are there aborigines ?" LOC:other
"What U.S. President was the first to breed mules ?" HUM:ind
"How big is a normal size penis for a 15-year-old ?" NUM:volsize
"Who produces Spumante ?" HUM:gr
"What four forms does gold occur in ?" ENTY:other
"What is the chemiosmotic theory ?" DESC:def
"What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?" ENTY:animal
"Which country is known as `` Big Bear '' ?" LOC:country
"How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?" DESC:manner
"Where did the Wright brothers make their first flight ?" LOC:other
"How far is the longest hole in 1 on any golf course and where did it happen ?" NUM:dist
"What kind of dog is Scooby Doo ?" ENTY:animal
"What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?" ENTY:veh
"Where is the massive North Korean nuclear complex located ?" LOC:other
"Why were red M&Ms discontinued then brought back ?" DESC:reason
"What year did nylon stockings first go on sale ?" NUM:date
"What does Melissa mean ?" DESC:def
"What is the origin of the word `` amen '' ?" DESC:desc
"What 's the most powerful card in Euchre ?" ENTY:other
"What kind of science is cosmology ?" ENTY:other
"Who was the first Holy Roman Emperor ?" HUM:ind
"What significant battle was fought in Belgium in 1815 ?" ENTY:event
"What was Mel Gibson 's first movie ?" ENTY:cremat
"What is a conifer ?" DESC:def
"How is a hydrogen bomb different from a nuclear bomb ?" DESC:manner
"CNN 's first broadcast occurred on what date ?" NUM:date
"What George Harrison tune sounded too much like He 's So Fine by The Chiffons ?" ENTY:cremat
"What is e-commerce ?" DESC:def
"What German city do Italians call The Monaco of Bavaria ?" LOC:city
"Which produces the longer sperm - an elephant or a mouse ?" ENTY:animal
"What kind of business is 7-Eleven ?" HUM:gr
"How do I check if my modem is v.9 compatible ?" DESC:manner
"How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?" NUM:count
"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?" NUM:money
"What corporation does Madonna advertise for ?" HUM:gr
"What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?" ENTY:other
"What are Fortune 500 companies ?" DESC:def
"What is Dick Clark 's birthday ?" NUM:date
"What is Dr. Seuss ' most popular book ?" ENTY:cremat
"Where was the first zoo in the U.S. ?" LOC:other
"How many miles of corridors are in The Pentagon ?" NUM:count
"What U.S. state is Fort Knox in ?" LOC:state
"How did the bikini bathing suite get its name ?" DESC:manner
"What state does Martha Stewart live in ?" LOC:state
"What two cities usually mark the extremes of English Channel swims ?" LOC:city
"Who is the leading competitor of Trans Union Company ?" HUM:gr
"Where have the most dinosaur remains been found ?" LOC:other
"How many calories are there in a Big Mac ?" NUM:count
"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?" HUM:gr
"How many wings does a flea have ?" NUM:count
"What planet gave bith to Superman ?" LOC:other
"What does a deltiologist collect ?" ENTY:other
"What is Supergirl 's secret identity ?" HUM:ind
"What is a fear of jealousy ?" ENTY:dismed
"What is a 2-sided object called ?" ENTY:termeq
"How many inches over six feet is Tom Selleck ?" NUM:count
"Why do roosters sing at five o 'clock in the morning ?" DESC:reason
"What 's the second-largest island in the world ?" LOC:other
"What were the last names of gangsters Bonnie and Clyde ?" HUM:ind
"What are the benefits of a rowing machine ?" DESC:desc
"Which Doonesbury character was likely to turn into a werewolf ?" HUM:ind
"What layer of the atmosphere contains most of the ozone layer ?" ENTY:other
"What two major world religions began in India ?" ENTY:religion
"What future Soviet dictator was training to be a priest when he got turned on to Marxism ?" HUM:ind
"What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?" ENTY:other
"Who portrayed `` the man without a face '' in the movie of the same name ?" HUM:ind
"What was the first Gilbert and Sullivan opera ?" ENTY:cremat
"Who portrayed Carl Bernstein in All the President 's Men ?" HUM:ind
"What is D.B. Cooper known for ?" DESC:reason
"How do they type Chinese characters on a keyboard ?" DESC:manner
"Name the highest mountain ." LOC:mount
"What U.S. state has the second-longest coastline ?" LOC:state
"What are geckos ?" DESC:def
"What is the origin of the first name ` Breony ' ?" DESC:desc
"What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?" NUM:date
"How do I keep cats out of my flower garden for good ?" DESC:manner
"In which state are the Mark Twain National Forests ?" LOC:state
"What monarch signed the Magna Carta ?" HUM:ind
"Who was the first black to be head coach of a major league pro sports team ?" HUM:ind
"Who invented panties ?" HUM:ind
"How can I get started in writing for television ?" DESC:manner
"Who turned all he touched to gold ?" HUM:ind
"What 's the mystery of the Bermuda Triangle ?" DESC:desc
"How often are quadruplets born ?" NUM:other
"Name a golf course in Myrtle Beach ." ENTY:other
"What two baseball players make up the battery ?" HUM:ind
"What common ailment can 't you catch at the North Pole ?" ENTY:dismed
"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?" ENTY:food
"What is the origin of Boxing Day ?" DESC:desc
"How many times more than 3" NUM:count
"Who earns their money the hard way ?" HUM:ind
"What is the purpose of the SysRq key on my computer keyboard ?" DESC:reason
"How many people die from tuberculosis each year ?" NUM:count
"What U.S. city 's skyline boasts the Gateway Arch ?" LOC:city
"Where did guinea pigs originate ?" LOC:other
"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?" LOC:state
"What did the Confederate Constitution say about slavery ?" DESC:desc
"What 's a water funnel ?" DESC:def
"What are the words to the Canadian National anthem ?" DESC:desc
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD ." NUM:count
"How long does James Bond like his eggs boiled ?" NUM:period
"How many feet high is the hurdle in front of a runner 's steeplechase water jump ?" NUM:count
"Who does data collection in tourism ?" HUM:ind
"What is a neurosurgeon ?" DESC:def
"What is the historical relationship of Catholic Church and bingo ?" DESC:desc
"What does the `` blue ribbon '' stand for ?" ABBR:exp
"What does NASDAQ stand for ?" ABBR:exp
"Who created the monster in Mary Shelley 's novel Frankenstein ?" HUM:ind
"What are equity securities ?" DESC:def
"What are the different approaches of systems analysis ?" ENTY:techmeth
"Why are there letters on the telephone ? Why are there no Q or Z ?" DESC:reason
"Who plays the cop in the movie `` Kindergarten Cop '' ?" HUM:ind
"What did Thomas Paine write ?" ENTY:cremat
"Who is reputed to be the greatest maker of violins ?" HUM:ind
"What is Australia Day ?" DESC:def
"Who was the first host of Person to Person ?" HUM:ind
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?" NUM:money
"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?" NUM:count
"What is splatterpunk ?" DESC:def
"What board game does a `` wood-pusher '' play poorly ?" ENTY:sport
"What robust U.S. President imported his own instructor after seeing a judo match ?" HUM:ind
"What do Mormons believe ?" DESC:desc
"What is the legal blood alcohol limit for the state of California ?" ENTY:other
"What is LMDS ?" ABBR:exp
"What task does the Bouvier breed of dog perform ?" HUM:title
"What do Christian Scientists believe in ?" DESC:desc
"Which of the following was Rhodes Scholar ?" HUM:ind
"Who was the lyricist and who was the composer between Gilbert and Sullivan ?" HUM:ind
"What does a polyorchid man have at least three of ?" ENTY:other
"What two countries are separated by the Bering Strait ?" LOC:country
"Which ear can most people hear better with ?" ENTY:body
"Who wrote Sons and Lovers ?" HUM:ind
"What does the T.S. stand for in T.S. Eliot 's name ?" ABBR:exp
"What does the technique called `` cold fusion '' produce ?" ENTY:techmeth
"What is the best hospital for orthopedics in the country ?" LOC:other
"What is Grenada 's main commodity export ?" ENTY:other
"Which mammal lives , breeds , eats , and sleeps underground ?" ENTY:animal
"What movie did Madilyn Kahn star in with Gene Wilder ?" ENTY:cremat
"Who wrote the lyrics to Porgy and Bess ?" HUM:ind
"What excuse did the NATO people give for hitting the Chinese embassy ?" DESC:desc
"What creature scares people in the film `` Jaws '' ?" ENTY:animal
"What were the first words spoken on a film sound track ?" DESC:desc
"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?" HUM:ind
"Which company created the Internet browser Mosaic ?" HUM:gr
"What causes someone to be ticklish ?" DESC:reason
"What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?" HUM:ind
"How many months does a normal human pregnancy last ?" NUM:count
"What terrorist group was headed by Donald DeFreeze ?" HUM:gr
"What year was the setting for American Graffiti ?" NUM:date
"How many `` No '' answers was the What 's My Line ? panel allowed ?" NUM:count
"How did Super President gain his powers on the animated series ?" DESC:manner
"How much of the earth 's surface is permanently frozen ?" NUM:count
"What nation boarders Mozambique ?" LOC:country
"In AD 999 , what sort of celebrations , fears , were there ?" ENTY:other
"What costume designer decided that Michael Jackson should only wear one glove ?" HUM:ind
"Who was the lead actress in the movie ` Sleepless in Seattle ' ?" HUM:ind
"How many people died when the Estonia sank in 1994 ?" NUM:count
"What was Einstein 's IQ ?" NUM:other
"How can people from Ireland come to the U.S. , work , and then return to Ireland ?" DESC:manner
"What cathedral was Thomas Becket murdered in ?" LOC:other
"What is the capital of Italy ?" LOC:city
"What is the executor in a will ?" DESC:def
"For what reason did some San Diego schools stop serving apples ?" DESC:reason
"What did Delilah do to Samson 's hair ?" DESC:desc
"What fuel do airplanes use ?" ENTY:substance
"What do the figures represent on the Easter Island ?" DESC:def
"What is the population of Arcadia , Florida ?" NUM:count
"What is California 's capital ?" LOC:city
"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?" HUM:ind
"What country was the setting of You Only Live Twice ?" LOC:country
"How long do cardinal eggs incubate ?" NUM:period
"What country is home to Heineken beer ?" LOC:country
"Where did the term `` 86 '' come from ?" DESC:desc
"What is a serigraph ?" DESC:def
"What 's the term for a bet before cards are dealt ?" ENTY:termeq
"What volcano showers ash on Sicily ?" LOC:other
"How long does it take for your blood to make one complete trip through the body ?" NUM:period
"What is considered the costliest disaster the insurance industry has ever faced ?" ENTY:event
"What Shakespeare play opens with the line : `` Now is the winter of our discontent.. . '' ?" ENTY:cremat
"How do you say `` eat the day '' in Latin ?" ENTY:termeq
"What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?" ENTY:food
"How many bails are there in a cricket wicket ?" NUM:count
"Who is Stephen Hawking ?" HUM:desc
"What one of the Backstreet Boys are single ?" HUM:ind
"Which two products use a tiger as their symbol ?" ENTY:product
"What kind of weapons were used in Medieval warfare ?" ENTY:other
"What is the life span of the average monkey ?" NUM:period
"Why do recipe books recommend starting with cold water when you boil something ?" DESC:reason
"What word occurs 46 , 227 times in the Bible ?" ENTY:word
"What wrestling star became `` The Incredible Hulk '' ?" HUM:ind
"Why did the Shea & Gould law firm leave Los Angeles ?" DESC:reason
"Where is the bridge over the river Kwai ?" LOC:other
"Why did Europeans first come to Australia and Oceania ?" DESC:reason
"What French leader sold Louisiana to the United States ?" HUM:ind
"Who portrayed Renaud in Casablanca ?" HUM:ind
"What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?" LOC:other
"What first name was Nipsy Russell given at birth ?" HUM:ind
"What famous British actor lost his voice after an operation in 1966 ?" HUM:ind
"What 's the difference between J.D. and LL.M. ?" DESC:desc
"What woman has carried the most multiple births , twins , triplets , etc. , ?" HUM:ind
"What President was buried at his ancestral home overlooking the Hudson River at Hyde Park , New York ?" HUM:ind
"When was China 's first nuclear test ?" NUM:date
"Who was Israel 's first prime minister ?" HUM:ind
"Who is the French literary charcter who is chiefly famous for his enormous nose ?" HUM:ind
"How do you reference a website ?" DESC:manner
"What are you caught in if a haboob blows up ?" ENTY:other
"Mississippi has what name for a state nickname ?" LOC:state
"What is the name of the vaccine for chicken pox ?" ENTY:dismed
"What year was the Avery Dennison company founded ?" NUM:date
"Where did Luther display his `` Ninety-Five Theses '' ?" LOC:other
"What is the belt of low pressure around the equator called ?" ENTY:termeq
"Why is the grass green ?" DESC:reason
"How many types of dogs ' tails are there - three" NUM:count
"What famous comedian recently tried without success to revive the play ?" HUM:ind
"What is the softest part of the body ?" ENTY:body
"What did Cool Hand Luke go to jail for ?" DESC:reason
"What color flies closest to the staff on Belgium 's flag ?" ENTY:color
"How big is our galaxy in diameter ?" NUM:volsize
"Who was the founding member of the Pink Floyd band ?" HUM:ind
"What does the word `` opera '' mean ?" DESC:def
"Who is Rocky 's and Bullwinkle 's ever-lost friend ?" HUM:ind
"What does a man suffering from diphallic terata have ?" ENTY:dismed
"What toy can you make sleep ?" ENTY:product
"What is Greek pita ?" DESC:def
"How do you get a girl to have sex with you ?" DESC:manner
"Name a movie about the Sioux Indians starring Kevin Costner ." ENTY:cremat
"What is Mississippi 's state animal ?" ENTY:animal
"When was the San Francisco fire ?" NUM:date
"How many cubic feet of space does a gallon of water occupy ?" NUM:count
"What is the length of border between the Ukraine and Russia ?" NUM:dist
"When was the last major eruption of Mount St. Helens ?" NUM:date
"Who is Barbara Jordan ?" HUM:desc
"What do chefs call The Master Spice ?" ENTY:food
"What country in Latin America is the largest one ?" LOC:country
"In what U.S. state was the first woman governor elected ?" LOC:state
"What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''" NUM:date
"How many milligrams are in a gram ?" NUM:count
"How many pins are used in skittles ?" NUM:count
"How many sides does an obelisk have ?" NUM:count
"What is troilism ?" DESC:def
"What 's Mrs. Bridges 's job on TV 's Upstairs , Downstairs ?" HUM:title
"What does a pedometer measure ?" ENTY:other
"Where did King Francis I hang the `` Mona Lisa '' when he owned it ?" LOC:other
"How can I register my website in Yahoo for free ?" DESC:manner
"What is the definition of ` graphic details ' ?" DESC:def
"Where does the U.S. rank among world countries in area ?" NUM:ord
"Where 's Montenegro ?" LOC:other
"What cheery fellow got the ZIP code 9971 from the U.S. Postal Service in 1963 ?" HUM:ind
"Where is Kings Canyon ?" LOC:other
"Names of books by James A. Michener set in the following locations ?" ENTY:cremat
"What capital is built around Monument Circle which contains soldiers and sailors monument ?" LOC:city
"What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?" ENTY:other
"What 's the nickname of oddsmaker Jimmy Snyder ?" HUM:ind
"What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?" HUM:ind
"What civil war was fought between 1936 and 1939 ?" ENTY:event
"What is the world 's best selling cookie ?" ENTY:food
"What does e=mc2 mean ?" DESC:def
"What meat complemented sweet potatoes and peas in the first TV dinner ?" ENTY:food
"What is the name of the city that Maurizio Pellegrin lives in ?" LOC:city
"What is Answers.com 's address ?" LOC:other
"In what ways did Ivan IV support Russian expansion ?" ENTY:techmeth
"Who is the monarch of the United Kingdom ?" HUM:ind
"Where can I find a tape or book to help me say , write and understand Japanese ?" LOC:other
"What do opposite faces of a die always add up to ?" ENTY:other
"How much did Alaska cost when bought from Russia ?" NUM:money
"What is the name of the rare neurological disease with symptoms such as : involuntary movements , tics , swearing , and incoherent vocalizations , grunts , shouts , etc. ?" ENTY:dismed
"What features of the African elephant are larger than those of the Indian elephant ?" DESC:desc
"How does color affect a person psychologically ?" DESC:manner
"How long does it take to hike the entire Appalachian Trail ?" NUM:period
"How many freckles does Howdy Doody have on his face ?" NUM:count
"What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?" HUM:gr
"What is diabetes ?" DESC:def
"How come a doughnut has a hole in it ?" DESC:reason
"How many corners does a spritsail have ?" NUM:count
"How many calories are there in soy sauce ?" NUM:count
"Who is the prophet of the religion of Islam ?" HUM:ind
"How much can a person be fined for having a dog on a beach ?" NUM:money
"What is Drew Barrymore 's email address ?" LOC:other
"When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?" NUM:date
"What is the primary language of the Philippines ?" ENTY:lang
"What is the name of the song that Dracula plays on the organ ?" ENTY:cremat
"What three colors of ink are used to print a U.S. dollar bill ?" ENTY:color
"What two New York Yankee pitchers swapped wives and families ?" HUM:ind
"Tell me what city the Kentucky Horse Park is near ?" LOC:city
"Where did the Maya people live ?" LOC:other
"What was known as the Spice Island ?" LOC:other
"Why do you say `` God bless you '' when people sneeze ?" DESC:reason
"Where is the largest post office building in the world ?" LOC:other
"What are the components of polyester ?" ENTY:other
"Who sang the song `` Hooked on a Feeling '' in the dancing baby episode of `` Ally Mcbeal '' ?" HUM:ind
"What 's the difference between carelessness and carefreeness ?" DESC:desc
"How is Easter Sunday 's date determined ?" DESC:manner
"What are manifest and latent function theories ?" DESC:def
"Where did the world come from ?" LOC:other
"What TV family sometimes buys eclairs from Nelson 's Bakery ?" HUM:ind
"What company was the original sponsor of TV 's Superman ?" HUM:gr
"Who is the composer of `` Canon in D Major '' ?" HUM:ind
"Who was the last U.S. president to reinstate Selective Service registration ?" HUM:ind
"Name the creator of `` The Muppets '' ." HUM:ind
"What United States city produces the most oil ?" LOC:city
"What video game hero do some of his fans call Chomper ?" HUM:ind
"Where is the world championship sled dog race held each February ?" LOC:other
"What does `` extended definition '' mean and how would one write a paper on it ?" DESC:def
"What are the 10 largest cities in the US ?" LOC:city
"What U.S. state has sagebrush as its state flower ?" LOC:state
"What is the web address of the list of e-mail addresses of members of the House of Representatives ?" LOC:other
"What 's the biggest-selling U.S. magazine aimed at a black audience ?" ENTY:cremat
"On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?" NUM:date
"How large is Missouri 's population ?" NUM:other
"In the Miller Lite TV commercial , who is the creature ?" ENTY:animal
"In what city does Maurizio Pellegrin now live ?" LOC:city
"When did Charles Lindbergh die ?" NUM:date
"What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?" ENTY:cremat
"The Olympic Games in which year allowed Nadia Comaneci to become popular ?" NUM:date
"Why is Thanksgiving on a Thursday ?" DESC:reason
"What is a hyperlink ?" DESC:def
"What is the capital of Seattle ?" LOC:city
"Where is McCarren Airport located ?" LOC:other
"What does snafu stand for ?" ABBR:exp
"Who liberated 19th century Sicily and Naples ?" HUM:ind
"What 's the state motto of California ?" DESC:desc
"What company produces Spumante ?" HUM:gr
"What bowl game began as an East-West contest between Michigan and Stanford in 192 ?" ENTY:sport
"When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?" NUM:date
"What is the nickname of the Cleveland Indians ?" ENTY:termeq
"What Asian gulf were the destroyers Maddox and C Turner Joy shot up in ?" LOC:other
"What English queen had seventeen children ?" HUM:ind
"What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?" DESC:desc
"What does caliente translate to in English ?" ENTY:termeq
"Where did the Inuits live ?" LOC:other
"What year were the Olympic Games played in where Nadia Comaneci became popular ?" NUM:date
"What city is served by Tempelhol Airport ?" LOC:city
"Where is Poe 's birthplace ?" LOC:other
"What does the River Seine empty into ?" LOC:other
"Who told all in Ball Four ?" HUM:ind
"What does the Greek word polis mean , as in Minneapolis ?" DESC:def
"Which is the most-used computer program ?" ENTY:cremat
"How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?" NUM:count
"What was the name given the 6 , 500 German airforce troops that used the Spanish Civil War as a training exercise ?" HUM:gr
"What century does Captain Video live in ?" NUM:date
"Who is the Antichrist ?" HUM:ind
"How fast can a Corvette go ?" NUM:speed
"Where is the highest point in Japan ?" LOC:mount
"Where can I find full written draft of CTBT ?" LOC:other
"How can I give myself a French manicure ?" DESC:manner
"What film dramatized the Scopes monkey trial ?" ENTY:cremat
"The Shea & Gould law firm had an office in L.A. for how many years ?" NUM:count
"Where did Dylan Thomas die ?" LOC:other
"In what area of the world was the Six Day War fought ?" LOC:other
"When did the art of quilting begin ?" NUM:date
"When is Boxing Day ?" NUM:date
"What countries have the most auto thefts ?" LOC:country
"What California governor said : `` Inaction may be the highest form of action '' ?" HUM:ind
"What school does Tom attend in Tom Brown 's School Days ?" HUM:gr
"What golfer has been called Ohio Fats and Blobbo ?" HUM:ind
"What character in The Beverly Hillbillies has the given names Daisy Moses ?" HUM:ind
"What is Remembrance Day all about ?" DESC:desc
"What attorneys work for The Center for the Defense of Free Enterprise ?" HUM:ind
"Who was the author of `` John Brown 's Body '' ?" HUM:ind
"What North American city sprouts the most parking meters ?" LOC:city
"What `` melts in your mouth , not in your hands '' ." ENTY:food
"What woman was Time 's Man of the Year for 1952 ?" HUM:ind
"Who is the nebbish that is Marvel 's official mascot ?" HUM:ind
"What kind of women gave Sigmund Freud erotic dreams ?" HUM:ind
"What is Dudley Do-Right 's horse 's name ?" ENTY:animal
